module	lang	files	lines
Neurobench	dart	60	7147
Neurobench	python	89	8815
Neurochip	python	140	25436
Neurohub	python	103	14150
Neurosense	python	86	8236
current tasks	python	2	121
neurocli	python	23	2802
neurocnl	dart	698	142348
neurocnl	python	479	98384
nmtk	dart	133	32465
nmtk	python	33	14726
nmtk_module_contracts	dart	5	238
nmtk_sdk	python	6	311
nmtk_ui_core	dart	119	18619
paper	python	424	167461
scripts	python	13	2916
suite_api	python	33	1977
tests	python	56	15889
tools	python	30	3143
workers	python	22	2940
workspaces	python	2	215
